Stock,Ticker,Model,Test_Samples,Accuracy,Precision,Recall,F1,ROC_AUC
Reliance Industries,RELIANCE.NS,logistic_regression,239,0.46443514644351463,0.43103448275862066,0.44642857142857145,0.43859649122807015,0.4815804274465691
Reliance Industries,RELIANCE.NS,random_forest,239,0.502092050209205,0.46153846153846156,0.375,0.41379310344827586,0.5206692913385826
Reliance Industries,RELIANCE.NS,xgboost,239,0.5146443514644351,0.4782608695652174,0.39285714285714285,0.43137254901960786,0.5297384701912261
TCS,TCS.NS,logistic_regression,239,0.4351464435146444,0.42702702702702705,0.7314814814814815,0.5392491467576792,0.49985863726321744
TCS,TCS.NS,random_forest,239,0.4769874476987448,0.4519774011299435,0.7407407407407407,0.5614035087719298,0.4862171331636981
TCS,TCS.NS,xgboost,239,0.4811715481171548,0.4506172839506173,0.6759259259259259,0.5407407407407407,0.5199321458863443
Infosys,INFY.NS,logistic_regression,239,0.42677824267782427,0.4083769633507853,0.7647058823529411,0.5324232081911263,0.4676542149706598
Infosys,INFY.NS,random_forest,239,0.4393305439330544,0.4148936170212766,0.7647058823529411,0.5379310344827586,0.46887075998282524
Infosys,INFY.NS,xgboost,239,0.4393305439330544,0.41397849462365593,0.7549019607843137,0.5347222222222222,0.47337913267496784
HDFC Bank,HDFCBANK.NS,logistic_regression,239,0.4560669456066946,0.4064516129032258,0.6237623762376238,0.4921875,0.5249677141627206
HDFC Bank,HDFCBANK.NS,random_forest,239,0.4895397489539749,0.41732283464566927,0.5247524752475248,0.4649122807017544,0.5019371502367629
HDFC Bank,HDFCBANK.NS,xgboost,239,0.502092050209205,0.42857142857142855,0.5346534653465347,0.47577092511013214,0.5170756206055387
ICICI Bank,ICICIBANK.NS,logistic_regression,239,0.497907949790795,0.4810126582278481,0.6666666666666666,0.5588235294117647,0.5124210526315789
ICICI Bank,ICICIBANK.NS,random_forest,239,0.4895397489539749,0.46551724137931033,0.47368421052631576,0.46956521739130436,0.4940350877192982
ICICI Bank,ICICIBANK.NS,xgboost,239,0.5062761506276151,0.4857142857142857,0.5964912280701754,0.5354330708661418,0.5167017543859649
State Bank of India,SBIN.NS,logistic_regression,239,0.46443514644351463,0.4852941176470588,0.2619047619047619,0.3402061855670103,0.493889591234724
State Bank of India,SBIN.NS,random_forest,239,0.4811715481171548,1.0,0.015873015873015872,0.03125,0.4525214215479702
State Bank of India,SBIN.NS,xgboost,239,0.4769874476987448,0.5172413793103449,0.11904761904761904,0.1935483870967742,0.45947464531535326
ITC,ITC.NS,logistic_regression,239,0.497907949790795,0.4527027027027027,0.6320754716981132,0.5275590551181102,0.5602213079869485
ITC,ITC.NS,random_forest,239,0.502092050209205,0.45112781954887216,0.5660377358490566,0.502092050209205,0.5471698113207547
ITC,ITC.NS,xgboost,239,0.497907949790795,0.45977011494252873,0.7547169811320755,0.5714285714285714,0.5295077315931337
Larsen & Toubro,LT.NS,logistic_regression,239,0.5397489539748954,0.5360824742268041,0.4444444444444444,0.48598130841121495,0.5423847554995096
Larsen & Toubro,LT.NS,random_forest,239,0.5271966527196653,0.5666666666666667,0.1452991452991453,0.23129251700680273,0.5319461958806222
Larsen & Toubro,LT.NS,xgboost,239,0.5397489539748954,0.6129032258064516,0.1623931623931624,0.25675675675675674,0.5316659660921955
Bharti Airtel,BHARTIARTL.NS,logistic_regression,239,0.5523012552301255,0.5317919075144508,0.7796610169491526,0.6323024054982818,0.5404118223840875
Bharti Airtel,BHARTIARTL.NS,random_forest,239,0.5313807531380753,0.5306122448979592,0.4406779661016949,0.48148148148148145,0.5551898024933464
Bharti Airtel,BHARTIARTL.NS,xgboost,239,0.5271966527196653,0.5263157894736842,0.423728813559322,0.4694835680751174,0.5439137134052388
Maruti Suzuki,MARUTI.NS,logistic_regression,239,0.5146443514644351,0.375,0.02631578947368421,0.04918032786885246,0.5056140350877193
Maruti Suzuki,MARUTI.NS,random_forest,239,0.4811715481171548,0.4489795918367347,0.38596491228070173,0.41509433962264153,0.46807017543859647
Maruti Suzuki,MARUTI.NS,xgboost,239,0.5230125523012552,0.5,0.23684210526315788,0.32142857142857145,0.48287719298245607
