Stock,Ticker,Model,Test_Samples,MAE,RMSE,MAPE
Reliance Industries,RELIANCE.NS,Naive,239,13.38526207832113,18.10484041447062,0.9708644939749616
Reliance Industries,RELIANCE.NS,LSTM,239,19.227555917396707,24.518567771359255,1.396841559892445
Reliance Industries,RELIANCE.NS,GRU,239,14.920897415991108,19.288974103884726,1.0847203390306863
TCS,TCS.NS,Naive,239,32.11258662395397,45.31701628023133,1.277608849612073
TCS,TCS.NS,LSTM,239,288.9617082284584,359.7091174681359,12.569630362738069
TCS,TCS.NS,GRU,239,196.98000345270006,243.76570724120398,8.545364334620201
Infosys,INFY.NS,Naive,239,17.14266291023797,24.10398306730118,1.3605912172413093
Infosys,INFY.NS,LSTM,239,49.22350997605583,64.13423963638517,4.045301166200208
Infosys,INFY.NS,GRU,239,30.11274572396378,38.21998667134254,2.4758911203544343
HDFC Bank,HDFCBANK.NS,Naive,239,7.963956058773536,10.997860631564523,0.9769332432382533
HDFC Bank,HDFCBANK.NS,LSTM,239,15.537081028128268,20.290531626361584,1.9479796130797251
HDFC Bank,HDFCBANK.NS,GRU,239,12.962327262846495,17.037014238566343,1.6271388482675002
ICICI Bank,ICICIBANK.NS,Naive,239,12.610710622875262,16.40754026621874,0.9412613582678836
ICICI Bank,ICICIBANK.NS,LSTM,239,28.50554423950706,36.692787985525676,2.1242555654258637
ICICI Bank,ICICIBANK.NS,GRU,239,18.576780694299163,24.003088768288336,1.3886670644706502
State Bank of India,SBIN.NS,Naive,239,10.638918824774452,15.417798724770032,1.0394915426959903
State Bank of India,SBIN.NS,LSTM,239,100.6661029640102,110.60100528027895,9.689895407835875
State Bank of India,SBIN.NS,GRU,239,48.07929105239932,53.312451927219165,4.638270009197678
ITC,ITC.NS,Naive,239,2.7421816263238754,4.24143319193056,0.8876988150995413
ITC,ITC.NS,LSTM,239,15.809427812009675,19.70392998368141,5.233693621243482
ITC,ITC.NS,GRU,239,12.480078278226333,14.529176904824014,4.214801941269382
Larsen & Toubro,LT.NS,Naive,239,41.41435567305178,60.767104411019005,1.0633703205750897
Larsen & Toubro,LT.NS,LSTM,239,103.68853785303347,135.51921123725276,2.6555698959272798
Larsen & Toubro,LT.NS,GRU,239,90.7885977134545,110.65995411921344,2.288728876489471
Bharti Airtel,BHARTIARTL.NS,Naive,239,18.61654446015298,24.980461523937954,0.974164548749998
Bharti Airtel,BHARTIARTL.NS,LSTM,239,56.1308358802955,70.25011423054164,2.9944956775170866
Bharti Airtel,BHARTIARTL.NS,GRU,239,29.79221998398274,37.030545263376574,1.553235763902369
Maruti Suzuki,MARUTI.NS,Naive,239,152.03273323091005,205.926473484499,1.0812018471571265
Maruti Suzuki,MARUTI.NS,LSTM,239,492.934664291318,604.0175058606496,3.358278277038118
Maruti Suzuki,MARUTI.NS,GRU,239,242.31781184623432,301.98924310655985,1.70961830594396
